
--- TEST PSYNC PRINT STAT ---
stat: 159 64 21 2.8125 50
stat: 159 64 21 1 75
stat: 160 64 21 2 25
stat: 160 64 21 2.375 50
stat: 160 64 21 1 75
stat: 161 64 21 2 25
stat: 161 64 21 1 50
stat: 161 64 21 1 75
stat: 162 64 21 2 25
stat: 162 64 21 2.5 50
stat: 162 64 21 1 75
stat: 163 64 21 2 25
stat: 163 64 21 3 50
stat: 163 64 21 1 75
stat: 164 64 21 2 25
stat: 164 64 21 2.46875 50
stat: 164 64 21 1 75
stat: 165 64 21 2 25
stat: 165 64 21 1 50
stat: 165 64 21 1 75
stat: 166 64 21 2 25
stat: 166 64 21 3 50
stat: 166 64 21 1 75
stat: 167 64 21 2 25
stat: 167 64 21 2.3125 50
stat: 167 64 21 1 75
stat: 168 64 21 2 25
stat: 168 64 21 2.59375 50
stat: 168 64 21 1 75
stat: 169 64 21 2 25
stat: 169 64 21 1 50
stat: 169 64 21 1 75
stat: 170 64 21 2 25
stat: 170 64 21 2.46875 50
stat: 170 64 21 1 75
stat: 171 64 21 2 25
stat: 171 64 21 3 50
stat: 171 64 21 1 75
stat: 172 64 21 2 25
stat: 172 64 21 2 50
stat: 172 64 21 1 75
stat: 173 64 21 2 25
stat: 173 64 21 3 50
stat: 173 64 21 1 75
stat: 174 64 21 2 25
stat: 174 64 21 2.46875 50
stat: 174 64 21 1 75
stat: 175 64 21 2 25
stat: 175 64 21 2.6875 50
stat: 175 64 21 1 75
stat: 176 64 21 2 25
stat: 176 64 21 2.25 50
stat: 176 64 21 1 75
stat: 177 64 21 2 25
stat: 177 64 21 2.4375 50
stat: 177 64 21 1 75
stat: 178 64 21 2 25
stat: 178 64 21 3 50
stat: 178 64 21 1 75
stat: 179 64 21 2 25
stat: 179 64 21 3 50
stat: 179 64 21 1 75
stat: 180 64 21 2 25
stat: 180 64 21 2.5 50
stat: 180 64 21 1 75
stat: 181 64 21 2 25
stat: 181 64 21 3 50
stat: 181 64 21 1 75
stat: 182 64 21 2 25
stat: 182 64 21 2.4375 50
stat: 182 64 21 1 75
stat: 183 64 21 2 25
stat: 183 64 21 2.5 50
stat: 183 64 21 1 75
stat: 184 64 21 2 25
stat: 184 64 21 3 50
stat: 184 64 21 1 75
stat: 185 64 21 2 25
stat: 185 64 21 2.65625 50
stat: 185 64 21 1 75
stat: 186 64 21 2 25
stat: 186 64 21 2.4375 50
stat: 186 64 21 1 75
stat: 187 64 21 2 25
stat: 187 64 21 2.59375 50
stat: 187 64 21 1 75
stat: 188 64 21 2 25
stat: 188 64 21 2.375 50
stat: 188 64 21 1 75
stat: 189 64 21 2 25
stat: 189 64 21 3 50
stat: 189 64 21 1 75
stat: 190 64 21 2 25
stat: 190 64 21 2.5 50
stat: 190 64 21 1 75
stat: 191 64 21 2 25
stat: 191 64 21 2.53125 50
stat: 191 64 21 1 75
stat: 192 64 21 2 25
stat: 192 64 21 2.34375 50
stat: 192 64 21 1 75
stat: 193 64 21 2 25
stat: 193 64 21 1 50
stat: 193 64 21 1 75
stat: 194 64 21 2 25
stat: 194 64 21 2.65625 50
stat: 194 64 21 1 75
stat: 195 64 21 2 25
stat: 195 64 21 2.40625 50
stat: 195 64 21 1 75
stat: 196 64 21 2 25
stat: 196 64 21 2.5 50
stat: 196 64 21 1 75
stat: 197 64 21 2 25
stat: 197 64 21 1 50
stat: 197 64 21 1 75
stat: 198 64 21 2 25
stat: 198 64 21 2.34375 50
stat: 198 64 21 1 75
stat: 199 64 21 2 25
stat: 199 64 21 2.46875 50
stat: 199 64 21 1 75
stat: 200 64 21 2 25
stat: 200 64 21 2.40625 50
stat: 200 64 21 1 75
stat: 201 64 21 2 25
stat: 201 64 21 2.5625 50
stat: 201 64 21 1 75
stat: 202 64 21 2 25
stat: 202 64 21 2.65625 50
stat: 202 64 21 1 75
stat: 203 64 21 2 25
stat: 203 64 21 3 50
stat: 203 64 21 1 75
stat: 204 64 21 2 25
stat: 204 64 21 2.46875 50
stat: 204 64 21 1 75
stat: 205 64 21 2 25
stat: 205 64 21 3 50
stat: 205 64 21 1 75
stat: 206 64 21 2 25
stat: 206 64 21 3 50
stat: 206 64 21 1 75
stat: 207 64 21 2 25
stat: 207 64 21 3 50
stat: 207 64 21 1 75
stat: 208 64 21 2 25
stat: 208 64 21 1 50
stat: 208 64 21 1 75
stat: 209 64 21 2 25
stat: 209 64 21 2.5 50
stat: 209 64 21 1 75
stat: 210 64 21 2 25
stat: 210 64 21 2.4375 50
stat: 210 64 21 1 75
stat: 211 64 21 2 25
stat: 211 64 21 2.71875 50
stat: 211 64 21 1 75
stat: 212 64 21 2 25
stat: 212 64 21 2.59375 50
stat: 212 64 21 1 75
stat: 213 64 21 2 25
stat: 213 64 21 2.46875 50
stat: 213 64 21 1 75
stat: 214 64 21 2 25
stat: 214 64 21 1 50
stat: 214 64 21 1 75
stat: 215 64 21 2 25
stat: 215 64 21 3 50
stat: 215 64 21 1 75
stat: 216 64 21 2 25
stat: 216 64 21 2.28125 50
stat: 216 64 21 1 75
stat: 217 64 21 2 25
stat: 217 64 21 2.78125 50
stat: 217 64 21 1 75
stat: 218 64 21 2 25
stat: 218 64 21 1 50
stat: 218 64 21 1 75
stat: 219 64 21 2 25
stat: 219 64 21 3 50
stat: 219 64 21 1 75
stat: 220 64 21 2 25
stat: 220 64 21 2.46875 50
stat: 220 64 21 1 75
stat: 221 64 21 2 25
stat: 221 64 21 2.59375 50
stat: 221 64 21 1 75
stat: 222 64 21 2 25
stat: 222 64 21 2.4375 50
stat: 222 64 21 1 75
stat: 223 64 21 2 25
stat: 223 64 21 2.5625 50
stat: 223 64 21 1 75
stat: 224 64 21 2 25
stat: 224 64 21 2.53125 50
stat: 224 64 21 1 75
stat: 225 64 21 2 25
stat: 225 64 21 2.65625 50
stat: 225 64 21 1 75
stat: 226 64 21 2 25
stat: 226 64 21 2.625 50
stat: 226 64 21 1 75
stat: 227 64 21 2 25
stat: 227 64 21 1 50
stat: 227 64 21 1 75
stat: 228 64 21 2 25
stat: 228 64 21 1 50
stat: 228 64 21 1 75
stat: 229 64 21 2 25
stat: 229 64 21 2.40625 50
stat: 229 64 21 1 75
stat: 230 64 21 2 25
stat: 230 64 21 2.3125 50
stat: 230 64 21 1 75
stat: 231 64 21 2 25
stat: 231 64 21 1 50
stat: 231 64 21 1 75
stat: 232 64 21 2 25
stat: 232 64 21 2.46875 50
stat: 232 64 21 1 75
stat: 233 64 21 2 25
stat: 233 64 21 2.46875 50
stat: 233 64 21 1 75
stat: 234 64 21 2 25
stat: 234 64 21 2.3125 50
stat: 234 64 21 1 75
stat: 235 64 21 2 25
stat: 235 64 21 2.375 50
stat: 235 64 21 1 75
stat: 236 64 21 2 25
stat: 236 64 21 2.4375 50
stat: 236 64 21 1 75
stat: 237 64 21 2 25
stat: 237 64 21 2.59375 50
stat: 237 64 21 1 75
stat: 238 64 21 2 25
stat: 238 64 21 3 50
stat: 238 64 21 1 75
stat: 239 64 21 2 25
stat: 239 64 21 2.3125 50
stat: 239 64 21 1 75
stat: 240 64 21 2 25
stat: 240 64 21 3 50
stat: 240 64 21 1 75
stat: 241 64 21 2 25
stat: 241 64 21 2.28125 50
stat: 241 64 21 1 75
stat: 242 64 21 2 25
stat: 242 64 21 3 50
stat: 242 64 21 1 75
stat: 243 64 21 2 25
stat: 243 64 21 2.78125 50
stat: 243 64 21 1 75
stat: 244 64 21 2 25
stat: 244 64 21 2.59375 50
stat: 244 64 21 1 75
stat: 245 64 21 2 25
stat: 245 64 21 2.53125 50
stat: 245 64 21 1 75
stat: 246 64 21 2 25
stat: 246 64 21 2 50
stat: 246 64 21 1 75
stat: 247 64 21 2 25
stat: 247 64 21 2.40625 50
stat: 247 64 21 1 75
stat: 248 64 21 2 25
stat: 248 64 21 2.59375 50
stat: 248 64 21 1 75
stat: 249 64 21 2 25
stat: 249 64 21 1 50
stat: 249 64 21 1 75
stat: 250 64 21 2 25
stat: 250 64 21 2.75 50
stat: 250 64 21 1 75
stat: 251 64 21 2 25
stat: 251 64 21 1 50
stat: 251 64 21 1 75
stat: 252 64 21 2 25
stat: 252 64 21 1 50
stat: 252 64 21 1 75
stat: 253 64 21 2 25
stat: 253 64 21 2.59375 50
stat: 253 64 21 1 75
stat: 254 64 21 2 25
stat: 254 64 21 2.78125 50
stat: 254 64 21 1 75
stat: 255 64 21 2 25
stat: 255 64 21 1 50
stat: 255 64 21 1 75
stat: 256 64 21 2 25
stat: 256 64 21 1 50
stat: 256 64 21 1 75
stat: 257 64 21 2 25
stat: 257 64 21 1 50
stat: 257 64 21 1 75
stat: 258 64 21 2 25
stat: 258 64 21 1 50
stat: 258 64 21 1 75
stat: 259 64 21 2 25
stat: 259 64 21 2.6875 50
stat: 259 64 21 1 75
stat: 260 64 21 2 25
stat: 260 64 21 3 50
stat: 260 64 21 1 75
stat: 261 64 21 2 25
stat: 261 64 21 2.25 50
stat: 261 64 21 1 75
stat: 262 64 21 2 25
stat: 262 64 21 2.75 50
stat: 262 64 21 1 75
stat: 263 64 21 2 25
stat: 263 64 21 3 50
stat: 263 64 21 1 75
stat: 264 64 21 2 25
stat: 264 64 21 2.59375 50
stat: 264 64 21 1 75
stat: 265 64 21 2 25
stat: 265 64 21 2.375 50
stat: 265 64 21 1 75
stat: 266 64 21 2 25
stat: 266 64 21 2.40625 50
stat: 266 64 21 1 75
stat: 267 64 21 2 25
stat: 267 64 21 2.71875 50
stat: 267 64 21 1 75
stat: 268 64 21 2 25
stat: 268 64 21 2.4375 50
stat: 268 64 21 1 75
stat: 269 64 21 2 25
stat: 269 64 21 3 50
